product;coord_x;coord_y;label
Celular Desbloqueado Samsung Wave 723 c/ C;-3.11676E+016;1.54686E+016;Celular
CELULAR SAMSUNG STAR C-6712 2 CHIPS DESBLOQUEADO Geral Vermelho GSM 850 / 900 / 1800 / 1900-1 SIM GSM 850 / 900 / 1800 / 1900-2 SIM Anunciou Abril 2011 Status Logo Tamanho Dimens;-3859970000000000;2.13656E+015;Celular
Nextel i465 - iDEN c/ C;-5674810000000000;2672050000000000;Celular
Smartphone Nokia Lumia 710 / Preto / 3.7 / 8GB / 5MP / Wi-Fi / 3G / Windows / GPS;-4.57586E+016;2.85984E+016;Celular
Celular ZTE-G R236 - Dual Chip - ZTE;-2.41248E+016;257097000000000;Celular
Smartphone Sony Ericsson Live Desbloqueado;-5096380000000000;1.80585E+016;Celular
Celular ZTE R260 Desbloqueado - Dual Chip Wi-Fi Branco/Laranja;-2733260000000000;2.44851E+016;Celular
Smartphone Optimus L9 P768F Display 4.7. 3G. Wi-Fi. Android 4.0 Processador Dual Core 1Ghz. C;-4.39559E+015;4165850000000000;Celular
Celular desbloqueado claro t500 bivolt pr lg;-3614220000000000;1.41467E+016;Celular
Celular Desbloqueado Nokia C6 Branco c/ C;-3.61645E+016;2995310000000000;Celular
Celular Desbloqueado Nokia Lumia 710 Preto - Windows Phone 7.5. C;-4045190000000000;2.98766E+016;Celular
Smartphone LG Optimus P350 Desbloqueado TIM. Prata - Android 2.2. Tela 2.8. 3G. WiFi. GPS. C;-4693490000000000;1.76939E+016;Celular
Celular desbloqueado 411 Meu Preto/Vermelho c/ C;-3545110000000000;1.69944E+016;Celular
Celular Nokia C3 GSM Quadriband. Teclado Qwerty. Wi-Fi. C;-4094850000000000;2519650000000000;Celular
Celular Samsung Desbloqueado S5222 Star III Dual Chip Com Tela 3.0 Touch Screen C;-3466090000000000;1.05021E+016;Celular
Smartphone Samsung Galaxy S Duos GT-S7562 Com Dual Chip C;-4859160000000000;1.00881E+016;Celular
Smartphone Samsung Galaxy Ace S5830 Preto Branco Android 2.2. C;-4.95679E+016;1.24664E+016;Celular
Celular Desbloqueado ZTE-G S213 Preto . Dual Chip. R;-2.44319E+016;2.40873E+016;Celular
Smartphone Nokia Lumia 710 Branco e Rosa 3G Desbloqueado;-4.82361E+016;3.05869E+016;Celular
