product;coord_x;coord_y;label
SMARTPHONE NOKIA LUMIA 800 AZUL - DESBLOQUEADO - Nokia;-4,75375E+15;3,03148E+15;Celular
Celular Smartphone QWERTY Touchscreen com MP3 Player, Wi-Fi e 3G Motokey EX225 - Motorola;-5,94643E+15;1,58281E+16;Celular
Celular LG Optimus L5 II E455 Dual Chip, Full Touch 4;-6,25217E+15;9,59699E+15;Celular
Samsung Duos Touch Rosa Celular Desbloqueado c/ Leitor de Dois Chips, Touch Screen, C;-3,64191E+16;3,60809E+15;Celular
Nokia 2220 Desbloqueado TIM Rosa, Câmera, Rádio FM, Toques MP3;-2,64053E+16;7,86858E+15;Celular
Smartphone GSM Desbloqueado Milestone 3, 3G, Android 2.3, C;-4,78614E+16;1,3623E+16;Celular
Smartphone Nokia Lumia 710 Preto Windows Phone 7, 3G, Wi-fi, GPS, C;-4,58351E+15;2,86974E+15;Celular
Smartphone GSM Desbloqueado P970 Optimus Black, Android 2.2, Wi-fi, A-GPS + 2 Capas Coloridas - LG;-4,6213E+15;1,97919E+15;Celular
Celular Blu Tattoo Mini Tv, GSM, Rosa, Dual Chip - C;-3,38914E+15;2,24441E+15;Celular
"Celular CCE Motion Plus SM70 Desbloqueado com Dual Chip, Android 4.0, Memória 2GB, Processador 1GHz, Tela 4.3"", 3G/Wi-Fi e Câmera 5MP - Preto";-4,00253E+15;1,91944E+16;Celular
Samsung B7320 Omnia Grafite - GSM c/ Wi-Fi, Tecnologia 3G, GPS, Teclado Qwerty, C;-4,17561E+16;2,51596E+16;Celular
Nextel Motorola MOTOROKR i856 Preto c/ Câmera 1.3MP, MP3, Bluetooth, Fone de Ouvido e Cartão 2GB;-5,43797E+14;2,59334E+16;Celular
Blu Deco Mini Preto e Rosa, Tri Chip, Teclado QWERTY, C;-3,30115E+15;2,30642E+16;Celular
Celular Alcatel OT 217, Dual Chip, R;-5,64724E+15;-9,1787E+15;Celular
Celular Desbloqueado Motorola MOTOSMART ME XT305 Branco Dual Chip com C;-5,97278E+15;2,001E+15;Celular
Celular Desbloqueado Nokia C5-03 Cinza/Preto Symbian c/ C;-3,83369E+15;2,71191E+14;Celular
Smartphone Samsung Galaxy X com Tela Amoled de 4.65, C;-5,16413E+14;1,40101E+16;Celular
Celular Dual Chip Mirage P3101 TV Port;-3,18979E+15;1,92538E+16;Celular
Smartphone LG P500 Roxo - GSM c/ Sistema Operacional Android 2.2, Tecnologia 3G, Wi-Fi, GPS, TouchScreen c/ Tela de 3.2, C;-4,65957E+15;2,04896E+15;Celular
Celular Samsung Ch@t 335 (S3350) Champagne Gold - C;-2,63719E+14;1,50791E+16;Celular
Smartphone Desbloqueado LG Optimus Pro C660 Preto Touchscreen Qwerty Android 2.3 3G Wi-Fi Câmera 3.2MP GPS MP3 Player Bluetooth Cartão 2GB;-4,55417E+15;1,80157E+15;Celular
Celular GSM Desbloqueado Dual Band Nokia C2-06 Cinza, Dual Chip, C;-3,47183E+16;1,99137E+15;Celular
Nokia C3 Grafite Desbloqueado Claro com Teclado QWERTY, Wi-fi, C;-3,22976E+16;3,20852E+16;Celular
Samsung Ch@t 335 Preto Desbloqueado Claro, Teclado QWERTY, Teclado QWERTY, MP3 Player, C;-2,90224E+16;1,81424E+16;Celular
Central Pabx Office 416 - Multitoc;2,2618E+16;8,80777E+15;Celular
Celular Desbloqueado ZTE G S213 Rosa - Dual Chip, Toque MP3, R;-2,43351E+15;2,40345E+15;Celular
Celular Desbloqueado Samsung Galaxy Mini Preto/Verde Android 2.2, Wi-Fi, 3G, C;-4,16139E+15;1,10708E+15;Celular
Celular Desbloqueado TIM Nokia C2-01 Preto c/ C;-3,72898E+16;3,06185E+16;Celular
"Celular Freecel Free Vision Dual-Chip Tela 2"" - Bluetooth Rádio FM MP3 Player Viva-Voz";-2,86246E+16;1,04689E+16;Celular
Smartphone GSM Desbloqueado Lumia 710, Windows Phone, C;-4,99177E+15;2,46759E+16;Celular
Celular e Smartphone Motorola EX109 GSM Desbloqueado;-6,39561E+15;1,65967E+15;Celular
CEL. SEMP TOSHIBA CTV35D - GSM - STDN - SEMP TOSHIBA ARMAZ;3,50093E+16;-6,53802E+15;Celular
Celular Desbloqueado Samsung Galaxy Y Duos S6102 Branco com Dual Chip, Android 2.3, Wi-Fi, 3G, GPS, Câmera 3MP, MP3, Touch, Fone e Cartão 2GB -Tim;-4,05423E+15;9,09375E+15;Celular
Smartphone Xperia ARC Android 2.3, C;-4,68792E+15;1,57558E+15;Celular
Smartphone Samsung Galaxy S Duos S7562 BRANCO Dual Chip Desbloqueado, C;-4,85832E+16;9,3911E+15;Celular
Multilaser Touch P3160 GSM Desbloqueado;-3,60979E+15;2,08849E+15;Celular
Celular Desbloqueado LG KP570 Cookie c/ C;-3,51372E+16;1,43201E+14;Celular
Celular Motorola EX139 c/ Dual Chip, TV Digital, Touch Screen, C;-6,09259E+16;2,20593E+16;Celular
Celular Desbloqueado ZTE N721 Preto com C;-3,19777E+16;1,43313E+16;Celular
Celular Desbloqueado Freecel Free Duo TV P;-2,22816E+15;2,8082E+16;Celular
CELULAR NOKIA 2690 BLUE/AZUL NOKIA 2690 AZUL - GSM C/ C;-4,04791E+15;2,4898E+15;Celular
